word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0155269,0.0295795,1.0157778,,,,,,,,,,,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
BLUE,red,I,r,0,0,0,r,1,1.5907165,None,0,0,0,2,1.0451643,,,,,1.0338501,1.0451643,1.5130189,1.5130189,1.5130189,3.1528654,r,1,1.5907165,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
RED,red,C,r,1,1,0,r,1,0.6176734,None,0,1,1,0,3.1776261,,,,,3.159526,3.1776261,3.6619634,3.6619634,3.6619634,4.2813988,r,1,0.6176734,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
BLUE,blue,C,b,2,2,0,b,1,0.7170146,None,0,2,2,3,4.2950406,,,,,4.2834512,4.2950406,4.7949476,4.7949476,4.7949476,5.5141589,b,1,0.7170146,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
RED,blue,I,b,3,3,0,r,0,0.8280569,None,0,3,3,1,5.5279021,,,,,5.5161383,5.5279021,6.0276802,6.0276802,6.0276802,6.8633961,r,0,0.8280569,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
BLUE,blue,C,b,4,0,1,b,1,0.5150717,None,1,0,4,3,6.8772557,,,,,6.8652744,6.8772557,7.37695,7.37695,7.37695,7.8962705,b,1,0.5150717,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
RED,blue,I,b,5,1,1,b,1,0.6418255,None,1,1,5,1,7.9101818,,,,,7.8982525,7.9101818,8.4098651,8.4098651,8.4098651,9.062196,b,1,0.6418255,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
BLUE,red,I,r,6,2,1,r,1,0.6715261,None,1,2,6,2,9.0763615,,,,,9.0640422,9.0763615,9.5761815,9.5761815,9.5761815,10.2617748,r,1,0.6715261,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
RED,red,C,r,7,3,1,r,1,0.5881322,None,1,3,7,0,10.2757348,,,,,10.2636318,10.2757348,10.7755346,10.7755346,10.7755346,11.3780768,r,1,0.5881322,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
BLUE,red,I,r,8,0,2,r,1,0.7319105,None,2,0,8,2,11.3918457,,,,,11.3800024,11.3918457,11.8917057,11.8917057,11.8917057,12.6279429,r,1,0.7319105,None,,,,,pilot,1,2025-08-26_11h27.28.118,stroop task,,2025.1.1,60.03045942,2025-08-26 11h27.35.950456 +0530
