stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0346902,,0.01883,0.0346902,0.5029048,0.5029048,0.5510995,0.7993395,1.1112816,left,-10,1,1,0.5985474,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
1,2,8,1.1313188,,1.1114324,1.1313188,1.6157039,1.6157039,1.6329339,1.9153836,1.9829915,left,-8,1,1,0.355498,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
2,2,6,2.0185891,,1.9831231,2.0185891,2.4985765,2.4985765,2.536316,2.7990564,2.8539563,left,-6,1,1,0.3510932,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
3,2,4,2.8814818,,2.8540867,2.8814818,3.3654241,3.3654241,3.3815006,3.6648445,3.7523179,right,4,1,1,0.3832649,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
4,2,2,3.76481,,3.7524512,3.76481,4.2643277,4.2643277,4.2643277,4.5642561,4.7832561,left,-2,1,1,0.4859621,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
5,2,1,4.7982165,,4.7833892,4.7982165,5.2979956,5.2979956,5.2979956,5.6145092,5.7663446,left,-1,1,1,0.4622325,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
6,2,1,5.7808099,,5.7664561,5.7808099,6.2801266,6.2801266,6.2801266,6.5806895,6.7808612,right,1,1,1,0.4909703,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
7,2,1,6.7970899,,6.7809733,6.7970899,7.2811036,7.2811036,7.2974525,7.5810836,7.8511404,right,1,1,1,0.5543163,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
8,2,1,7.8673654,,7.8515834,7.8673654,8.362924,8.362924,8.379445,8.6631969,8.9299648,left,-1,1,1,0.5637473,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
9,1,1,8.9466006,,8.9301149,8.9466006,9.4298558,9.4298558,9.4469985,9.7327265,10.112925,right,1,0,0,0.6772518,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
10,1,2,10.12928,,10.1131151,10.12928,10.6158185,10.6158185,10.632424,10.9317258,11.3790893,right,2,1,1,0.7513199,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
11,1,2,11.3966172,,11.3792654,11.3966172,11.8959282,11.8959282,11.9109899,12.2113702,12.3461191,left,-2,1,1,0.4436214,633102,1,2025-09-04_11h18.42.470,adaptive staircase,,2025.1.1,60.11696364,2025-09-04 11h18.53.199944 +0530
