thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.03935185185185185)],[np.float64(0.23842592592592593)],[1],[0],[0],[1.714949799934402],['target'],0,0,0,0,0.0741324,,10,0.0454489,0.0741324,0.0741324,0.0454679,1.7604884,[np.float64(-0.03935185185185185)],[np.float64(0.23842592592592593)],[1],[0],[0],[1.714949799934402],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
1,0,1,[np.float64(-0.24074074074074073)],[np.float64(0.18287037037037038)],[1],[0],[0],[1.3483730999287218],['target'],1,0,1,0,1.7895387,,5,1.778815,1.7895387,1.7895387,0.0180864,3.1273488,[np.float64(-0.24074074074074073)],[np.float64(0.18287037037037038)],[1],[0],[0],[1.3483730999287218],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
2,0,2,[np.float64(0.41898148148148145)],[np.float64(0.06365740740740741)],[1],[0],[0],[1.513582400046289],['target'],2,0,2,0,3.1894896,,10,3.1637243,3.1894896,3.1894896,0.0360161,4.6774102,[np.float64(0.41898148148148145)],[np.float64(0.06365740740740741)],[1],[0],[0],[1.513582400046289],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
3,0,3,[np.float64(-0.45601851851851855)],[np.float64(-0.3275462962962963)],[1],[0],[0],[1.5947288998868316],['target'],3,0,3,0,4.7226084,,10,4.6978591,4.7226084,4.7226084,0.0201702,6.2926919,[np.float64(-0.45601851851851855)],[np.float64(-0.3275462962962963)],[1],[0],[0],[1.5947288998868316],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
4,0,4,[np.float64(0.16782407407407407)],[np.float64(-0.15162037037037038)],[1],[0],[0],[1.5797910999972373],['target'],4,0,4,0,6.3385113,,5,6.3132369,6.3385113,6.3385113,0.0202751,7.8931789,[np.float64(0.16782407407407407)],[np.float64(-0.15162037037037038)],[1],[0],[0],[1.5797910999972373],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
5,0,5,[np.float64(0.1412037037037037)],[np.float64(0.17476851851851852)],[1],[0],[0],[1.596516199875623],['target'],5,0,5,0,7.9539425,,10,7.9259008,7.9539425,7.9539425,0.0323879,9.5224585,[np.float64(0.1412037037037037)],[np.float64(0.17476851851851852)],[1],[0],[0],[1.596516199875623],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
6,0,6,[np.float64(0.3333333333333333)],[np.float64(-0.27199074074074076)],[1],[0],[0],[1.8317099998239428],['target'],6,0,6,0,9.5535773,,10,9.5411247,9.5535773,9.5535773,0.0185514,11.3729169,[np.float64(0.3333333333333333)],[np.float64(-0.27199074074074076)],[1],[0],[0],[1.8317099998239428],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
7,0,7,[np.float64(-0.24537037037037038)],[np.float64(-0.44328703703703703)],[1],[0],[0],[1.9677514999639243],['target'],7,0,7,0,11.4026378,,5,11.3908017,11.4026378,11.4026378,0.0176708,13.3587101,[np.float64(-0.24537037037037038)],[np.float64(-0.44328703703703703)],[1],[0],[0],[1.9677514999639243],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
8,0,8,[np.float64(0.4340277777777778)],[np.float64(-0.39814814814814814)],[1],[0],[0],[1.8257823998574167],['target'],8,0,8,0,13.4015509,,5,13.3804516,13.4015509,13.4015509,0.021383,15.2063591,[np.float64(0.4340277777777778)],[np.float64(-0.39814814814814814)],[1],[0],[0],[1.8257823998574167],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
9,0,9,[np.float64(0.2708333333333333)],[np.float64(-0.19212962962962962)],[1],[0],[0],[1.4568469000514597],['target'],9,0,9,0,15.2505667,,5,15.229721,15.2505667,15.2505667,0.0230679,16.6866051,[np.float64(0.2708333333333333)],[np.float64(-0.19212962962962962)],[1],[0],[0],[1.4568469000514597],['target'],F1,1,2025-10-07_18h25.53.019,Visual Search Experiment,,2025.1.1,60.32753022,2025-10-07 18h26.03.894183 +0530
