stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,textstudy.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.1636647,0.1734527,0.1734527,4.6463358,space,4.4293848,None,,,,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
sun,0,0,0,,,,,,,0,0,0,6,,,,,4.6713651,,,,,,,,,4.653151,4.6713651,6.6551821,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
mercury,1,1,0,,,,,,,0,1,1,9,,,,,6.6704964,,,,,,,,,6.6570861,6.6704964,8.6545528,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
orange,2,2,0,,,,,,,0,2,2,5,,,,,8.6862692,,,,,,,,,8.662685,8.6862692,10.6522825,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
bike,3,3,0,,,,,,,0,3,3,3,,,,,10.668724,,,,,,,,,10.6554015,10.668724,12.6513468,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
apple,4,4,0,,,,,,,0,4,4,4,,,,,12.6678099,,,,,,,,,12.6536327,12.6678099,14.6503016,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
earth,5,5,0,,,,,,,0,5,5,8,,,,,14.6669377,,,,,,,,,14.6518861,14.6669377,16.6494763,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
car ,6,6,0,,,,,,,0,6,6,2,,,,,16.6660526,,,,,,,,,16.6506637,16.6660526,18.6486725,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
phone,7,7,0,,,,,,,0,7,7,0,,,,,18.6652173,,,,,,,,,18.6502167,18.6652173,20.647752,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
laptop,8,8,0,,,,,,,0,8,8,1,,,,,20.6643803,,,,,,,,,20.6491021,20.6643803,22.6467985,,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
moon,9,9,0,,,,,,,0,9,9,7,,,,,22.6634385,,,,,,,,,22.6481107,22.6634385,24.6460937,24.6625931,,,,,,,,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6461544,24.6625931,24.6625931,25.7789334,space,1.0995425,None,,,,,,,,,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
mercury,0,0,0,old,y,y,1,1.9298316,None,,,,,0,0,0,9,25.795377,,,,,,,,,,,,,,,,,,,,25.7851806,25.795377,25.795377,27.7281206,y,1,1.9298316,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
laptop,1,1,0,old,y,y,1,2.1166084,None,,,,,0,1,1,1,27.7445124,,,,,,,,,,,,,,,,,,,,27.729431,27.7445124,27.7445124,29.8770937,y,1,2.1166084,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
phone,2,2,0,old,y,y,1,1.1034912,None,,,,,0,2,2,0,29.8935795,,,,,,,,,,,,,,,,,,,,29.8784973,29.8935795,29.8935795,31.0101004,y,1,1.1034912,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
sun,3,3,0,old,y,y,1,0.722669,None,,,,,0,3,3,6,31.0264283,,,,,,,,,,,,,,,,,,,,31.0112606,31.0264283,31.0264283,31.7597001,y,1,0.722669,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
orange,4,4,0,old,y,y,1,1.0929647,None,,,,,0,4,4,5,31.7761472,,,,,,,,,,,,,,,,,,,,31.76131,31.7761472,31.7761472,32.875874,y,1,1.0929647,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
cycle,5,5,0,new,n,n,1,0.6289781,None,,,,,0,5,5,11,32.8922589,,,,,,,,,,,,,,,,,,,,32.8772673,32.8922589,32.8922589,33.5256974,n,1,0.6289781,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
moon,6,6,0,old,y,y,1,1.6870773,None,,,,,0,6,6,7,33.5420251,,,,,,,,,,,,,,,,,,,,33.5268365,33.5420251,33.5420251,35.2414736,y,1,1.6870773,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
tab,7,7,0,new,n,n,1,0.6951798,None,,,,,0,7,7,10,35.2578829,,,,,,,,,,,,,,,,,,,,35.2427105,35.2578829,35.2578829,35.9577342,n,1,0.6951798,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
apple,8,8,0,old,y,n,0,0.9109519,None,,,,,0,8,8,4,35.9742789,,,,,,,,,,,,,,,,,,,,35.9590255,35.9742789,35.9742789,36.8907906,n,0,0.9109519,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
venus,9,9,0,new,n,n,1,0.8339916,None,,,,,0,9,9,13,36.9071554,,,,,,,,,,,,,,,,,,,,36.8931009,36.9071554,36.9071554,37.7569779,n,1,0.8339916,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
bike,10,10,0,old,y,n,0,1.0075992,None,,,,,0,10,10,3,37.7734688,,,,,,,,,,,,,,,,,,,,37.7585456,37.7734688,37.7734688,38.7898925,n,0,1.0075992,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
earth,11,11,0,old,y,y,1,0.8907095,None,,,,,0,11,11,8,38.8063901,,,,,,,,,,,,,,,,,,,,38.7912707,38.8063901,38.8063901,39.7061365,y,1,0.8907095,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
car ,12,12,0,old,y,y,1,1.4224608,None,,,,,0,12,12,2,39.7226453,,,,,,,,,,,,,,,,,,,,39.707338,39.7226453,39.7226453,41.1557529,y,1,1.4224608,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
star,13,13,0,new,n,n,1,1.0330812,None,,,,,0,13,13,12,41.1719738,,,,,,,,,,,,,,,,,,,,41.1569401,41.1719738,41.1719738,42.2217235,n,1,1.0330812,None,T08,1,2025-11-20_01h27.49.259,Memory Experiment,,2025.1.1,60.06799693,2025-11-20 01h28.21.067187 +0530
