delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,400,unexp,0,0,0,space,1.1903551,None,255,1,[7.543438500026241],[7.543454099912196],0,0,0,1,0.2273787,,0.1995731,0.2273787,1.0132874,1.0132874,1.2292894,2.2912263,space,1.1903551,None,2.2920414,2.695484267,3.0102569,2.9889863,2.9895919,3.0102569,3.0102569,3.0102569,10.5542994,255,1,[7.543438500026241],[7.543454099912196],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,400,unexp,1,1,0,space,0.5252631,None,150,1,[9.548992400057614],[9.548998499987647],0,1,1,0,10.5735867,,10.5546515,10.5735867,11.5588369,11.5588369,11.5755331,12.091948,space,0.5252631,None,12.0923439,12.19189277,12.50588,12.4882797,12.4885486,12.50588,12.50588,12.50588,22.0550777,150,1,[9.548992400057614],[9.548998499987647],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,2,2,0,space,0.5613362,None,400,1,[4.750888899900019],[4.750895299948752],0,2,2,7,22.0708572,,22.0552601,22.0708572,23.0543707,23.0543707,23.0705516,23.6196717,space,0.5613362,None,23.6201601,24.01958967,24.3341509,24.3193346,24.319599,24.3341509,24.3341509,24.3341509,29.0852566,400,1,[4.750888899900019],[4.750895299948752],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,3,3,0,space,1.1007111,None,250,1,[3.2677937000989914],[3.267800400033593],0,3,3,11,29.100599,,29.0854222,29.100599,30.083007,30.083007,30.0996639,31.1998906,space,1.1007111,None,31.2006724,31.89926157,32.2142226,32.1988796,32.1992678,32.2142226,32.2142226,32.2142226,35.4822372,250,1,[3.2677937000989914],[3.267800400033593],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,4,4,0,space,0.4435641,None,250,1,[4.383684600004926],[4.383689999813214],0,4,4,5,35.4971989,,35.4824128,35.4971989,36.4973439,36.4973439,36.4973439,36.9489114,space,0.4435641,None,36.950255,37.66408037,37.9780427,37.9614688,37.9619042,37.9780427,37.9780427,37.9780427,42.3619412,250,1,[4.383684600004926],[4.383689999813214],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,5,5,0,space,1.2619536,None,300,1,[2.418149100150913],[2.418155299965292],0,5,5,9,42.377879,,42.3621162,42.377879,43.3783064,43.3783064,43.3783064,44.6446783,space,1.2619536,None,44.6452451,44.76038157,45.075019,45.0575577,45.0579497,45.075019,45.075019,45.075019,47.4934073,300,1,[2.418149100150913],[2.418155299965292],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,6,6,0,space,1.413058,None,120,1,[3.934322099899873],[3.934328499948606],0,6,6,10,47.5090829,,47.4935968,47.5090829,48.5103126,48.5103126,48.5103126,49.9249023,space,1.413058,None,49.9255112,50.32503857,50.6393076,50.6161948,50.6164826,50.6393076,50.6393076,50.6393076,54.5738471,120,1,[3.934322099899873],[3.934328499948606],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,400,unexp,7,7,0,space,0.3184758,None,300,1,[5.46671160007827],[5.466717700008303],0,7,7,2,54.5894832,,54.5740212,54.5894832,55.5893209,55.5893209,55.5893209,55.9226684,space,0.3184758,None,55.9230549,56.62222827,56.9365485,56.9155377,56.9159135,56.9365485,56.9365485,56.9365485,62.4034698,300,1,[5.46671160007827],[5.466717700008303],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,8,8,0,space,0.8731501,None,700,1,[4.917272699996829],[4.917278900044039],0,8,8,3,62.4195206,,62.4036509,62.4195206,63.4188713,63.4188713,63.4188713,64.3019905,space,0.8731501,None,64.3024534,64.40296617,64.7169834,64.6955979,64.6959955,64.7169834,64.7169834,64.7169834,69.6344819,700,1,[4.917272699996829],[4.917278900044039],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,9,9,0,space,0.3973306,None,500,1,[12.179679199820384],[12.179685199866071],0,9,9,8,69.6489038,,69.6346425,69.6489038,70.6484772,70.6484772,70.6484772,71.0524741,space,0.3973306,None,71.0541841,71.76471237,72.0803136,72.0606347,72.0609987,72.0803136,72.0803136,72.0803136,84.2602083,500,1,[12.179679199820384],[12.179685199866071],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
