stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.1910755,0.2124219,0.2124219,0.9017402,space,0.6519534,None,,,,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
sun,0,0,0,,,,,,,0,0,0,6,,,,,0.9286386,,,,,,,,,0.9089042,0.9286386,2.9115348,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
moon,1,1,0,,,,,,,0,1,1,7,,,,,2.9277929,,,,,,,,,2.9128961,2.9277929,4.9127939,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
car ,2,2,0,,,,,,,0,2,2,2,,,,,4.9269105,,,,,,,,,4.9140598,4.9269105,6.9115746,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
mercury,3,3,0,,,,,,,0,3,3,9,,,,,6.9260836,,,,,,,,,6.9136367,6.9260836,8.9107198,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
earth,4,4,0,,,,,,,0,4,4,8,,,,,8.9250199,,,,,,,,,8.9123591,8.9250199,10.9110263,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
bike,5,5,0,,,,,,,0,5,5,3,,,,,10.9244231,,,,,,,,,10.9152751,10.9244231,12.907987,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
apple,6,6,0,,,,,,,0,6,6,4,,,,,12.9234944,,,,,,,,,12.9094869,12.9234944,14.9089964,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
laptop,7,7,0,,,,,,,0,7,7,1,,,,,14.9224789,,,,,,,,,14.910481,14.9224789,16.9091021,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
orange,8,8,0,,,,,,,0,8,8,5,,,,,16.9383641,,,,,,,,,16.9184147,16.9383641,18.9063526,,,,,,,,,,,,,,,,P03,1,2025-11-20_02h07.57.649,Memory Experiment,,2025.1.1,60.0728323,2025-11-20 02h08.13.388418 +0530
