reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
27,50,21,0,0,0,l,3.6057774,None,0,0,0,2,0.2060657,,0.1938123,0.2060657,1.0056595,1.0056595,1.2055927,4.6256557,l,3.6057774,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
15,35,13,1,1,0,l,2.7945171,None,0,1,1,1,4.6374119,,4.6286273,4.6374119,5.6369624,5.6369624,5.6369624,8.4360026,l,2.7945171,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
67,75,119,2,2,0,t,0.7962161,None,0,2,2,5,8.4524155,,8.4394938,8.4524155,9.4352881,9.4352881,9.4519453,10.235233,t,0.7962161,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
49,60,89,3,3,0,l,1.520971,None,0,3,3,4,10.2515684,,10.2385761,10.2515684,11.2345075,11.2345075,11.2511585,12.7673436,l,1.520971,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
40,55,62,4,4,0,t,0.5007906,None,0,4,4,3,12.7838239,,12.7692216,12.7838239,13.7668179,13.7668179,13.7834496,14.2833897,t,0.5007906,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
78,80,162,5,5,0,t,1.5127178,None,0,5,5,6,14.2998223,,14.2853682,14.2998223,15.2827226,15.2827226,15.299528,16.7991074,t,1.5127178,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
11,30,7,6,6,0,l,0.8450375,None,0,6,6,0,16.8154085,,16.8011244,16.8154085,17.7983075,17.7983075,17.8149381,18.6481628,l,0.8450375,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
78,80,162,7,0,1,t,0.919941,None,1,0,7,6,18.6646492,,18.6500555,18.6646492,19.6474915,19.6474915,19.663965,20.5806016,t,0.919941,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
49,60,89,8,1,1,l,0.8474393,None,1,1,8,4,20.5971581,,20.5825275,20.5971581,21.5800166,21.5800166,21.596669,22.4298374,l,0.8474393,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
40,55,62,9,2,1,t,0.3942134,None,1,2,9,3,22.4462983,,22.4317382,22.4462983,23.4292195,23.4292195,23.445786,23.8291812,t,0.3942134,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
11,30,7,10,3,1,l,0.3868333,None,1,3,10,0,23.845686,,23.8311276,23.845686,24.8286318,24.8286318,24.8452668,25.2287756,l,0.3868333,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
67,75,119,11,4,1,t,1.1196279,None,1,4,11,5,25.2450705,,25.2306655,25.2450705,26.2279079,26.2279079,26.2445624,27.3610384,t,1.1196279,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
15,35,13,12,5,1,l,0.7190568,None,1,5,12,1,27.377431,,27.3630337,27.377431,28.3603941,28.3603941,28.3770467,29.0936609,l,0.7190568,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
27,50,21,13,6,1,l,1.2625899,None,1,6,13,2,29.1100088,,29.0959053,29.1100088,30.0928737,30.0928737,30.1095254,31.3592715,l,1.2625899,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
40,55,62,14,0,2,l,0.9808229,None,2,0,14,3,31.375659,,31.3611991,31.375659,32.3586417,32.3586417,32.3752557,33.3417004,l,0.9808229,None,P05,1,2025-11-05_14h04.52.383,delay discounting task,,2025.1.1,60.01345502,2025-11-05 14h05.01.961610 +0530
