stim_word,thisN,thisTrialN,thisRepN,old_new,yn_keys,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,thisRow.t,notes,Welcome.started,text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrial.started,textstudy.started,StudyTrial.stopped,textstudy.stopped,Instruction.started,text_3.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TestTrial.started,texttest.started,key_resp_3.started,TestTrial.stopped,trialsTest.key_resp_3.keys,trialsTest.key_resp_3.corr,trialsTest.key_resp_3.rt,trialsTest.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.1814182000234723,0.1981073000933975,0.1981073000933975,2.33977930014953,space,2.11119500012137,None,,,,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
mercury,0,0,0,,,,,,,0,0,0,9,,,,,2.3635945999994874,,,,,,,,,2.3475610001478344,2.3635945999994874,4.346349600004032,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
sun,1,1,0,,,,,,,0,1,1,6,,,,,4.362866200041026,,,,,,,,,4.347922699991614,4.362866200041026,6.34782570018433,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
bike,2,2,0,,,,,,,0,2,2,3,,,,,6.361915500136092,,,,,,,,,6.353654799982905,6.361915500136092,8.346436000196263,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
apple,3,3,0,,,,,,,0,3,3,4,,,,,8.36102299997583,,,,,,,,,8.34820510004647,8.36102299997583,10.345413600094616,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
moon,4,4,0,,,,,,,0,4,4,7,,,,,10.360209500184283,,,,,,,,,10.346817000070587,10.360209500184283,12.344112700084224,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
phone,5,5,0,,,,,,,0,5,5,0,,,,,12.359302300028503,,,,,,,,,12.346694400068372,12.359302300028503,14.343094800133258,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
orange,6,6,0,,,,,,,0,6,6,5,,,,,14.35836170008406,,,,,,,,,14.349846600089222,14.35836170008406,16.34273360017687,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
earth,7,7,0,,,,,,,0,7,7,8,,,,,16.35756540019065,,,,,,,,,16.34463860001415,16.35756540019065,18.342646799981594,,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
car ,8,8,0,,,,,,,0,8,8,2,,,,,18.356738900067285,,,,,,,,,18.34401540015824,18.356738900067285,20.33936020010151,20.355683400062844,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
laptop,9,9,0,,,,,,,0,9,9,1,,,,,20.355683400062844,,,,,,,,,20.34116670000367,20.355683400062844,22.33836290007457,22.354836400132626,,,,,,,,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.33841920015402,22.354836400132626,22.354836400132626,33.85020280000754,space,11.492803099798039,None,,,,,,,,,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
mercury,0,0,0,old,y,y,1,2.6726577000226825,None,,,,,0,0,0,9,33.86650830018334,,,,,,,,,,,,,,,,,,,,33.85647380002774,33.86650830018334,33.86650830018334,36.5489091000054,y,1,2.6726577000226825,None,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
car ,1,1,0,old,y,y,1,0.6738998999353498,None,,,,,0,1,1,2,36.56535629997961,,,,,,,,,,,,,,,,,,,,36.55013750004582,36.56535629997961,36.56535629997961,37.24861930008046,y,1,0.6738998999353498,None,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
phone,2,2,0,old,y,y,1,1.254188199993223,None,,,,,0,2,2,0,37.265103300102055,,,,,,,,,,,,,,,,,,,,37.25004329998046,37.265103300102055,37.265103300102055,38.531452800147235,y,1,1.254188199993223,None,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
sun,3,3,0,old,y,y,1,0.9433365000877529,None,,,,,0,3,3,6,38.54786489997059,,,,,,,,,,,,,,,,,,,,38.53255960019305,38.54786489997059,38.54786489997059,39.497624300187454,y,1,0.9433365000877529,None,P06,001,2025-11-20_02h13.19.444,Memory Experiment,,2025.1.1,60.04527417389838,2025-11-20 02h13.38.367351 +0530,
