 ,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,up,1,0.5058377,None,0,0,0,0,0,0.0123973,,0.0065991,0.0123973,1.0156941,1.0156941,1.5840506,up,1,0.5058377,None,0,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
1,0,1,up,1,0.4432062,None,0,1,0,1,0,1.5880196,,1.5843146,1.5880196,2.5978884,2.5978884,3.0481098,up,1,0.4432062,None,0,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
2,0,2,up,1,0.4173578,None,0,2,0,2,0,3.064334,,3.0483806,3.064334,4.0639768,4.0639768,4.4973554,up,1,0.4173578,None,0,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
3,0,3,down,1,0.6007131,None,1,3,0,3,0,4.5136147,,4.4976381,4.5136147,5.5133686,5.496642,6.114011,down,1,0.6007131,None,1,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
4,0,4,down,1,0.3920057,None,2,4,0,4,0,6.1297481,,6.1145392,6.1297481,7.129273,7.129273,7.5297942,down,1,0.3920057,None,2,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
5,0,5,down,0,0.4478368,None,0,5,0,5,0,7.545716,,7.530325,7.545716,8.5453,8.5453,8.9952713,down,0,0.4478368,None,0,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
6,0,6,up,0,0.4988197,None,-4,6,0,6,0,9.0115909,,8.9955156,9.0115909,10.0112861,9.9946331,10.4947738,up,0,0.4988197,None,-4,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
7,0,7,down,1,0.4745326,None,-5,7,0,7,0,10.5109186,,10.4950599,10.5109186,11.5106085,11.5106085,11.9940049,down,1,0.4745326,None,-5,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
8,0,8,up,1,0.4997364,None,0,8,0,8,0,12.0102442,,11.9943017,12.0102442,13.0099941,12.9933217,13.5099057,up,1,0.4997364,None,0,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
9,0,9,down,1,0.6839987,None,2,9,0,9,0,13.5262659,,13.5101475,13.5262659,14.5259695,14.5092505,15.2091886,down,1,0.6839987,None,2,f1,1,2025-09-11_09h51.50.661,Orientation Discrimination Task,,2025.1.1,60.032874,2025-09-11 09h52.09.108146 +0530
